url|font_icon|font|text|datetime|lang
./articles/CBMic2h0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDUvMDQvY2l0aS11cGdyYWRlcy10aGlzLWZpbmFuY2lhbC1naWFudC1zZWVzLXNoYXJwLWdhaW5zLWFoZWFkLWFmdGVyLWJhbmtpbmctY3Jpc2lzLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cnbc.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|CNBC|Citi upgrades this financial giant, sees sharp gains ahead after banking crisis|2023-05-04T10:19:29Z|eng
./articles/CBMiQWh0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvb25kZS1pbnZlc3Rpci9maWlzLXBhZ2FtLW1haXMtc2VsaWMv0gFFaHR0cHM6Ly93d3cuaW5mb21vbmV5LmNvbS5ici9vbmRlLWludmVzdGlyL2ZpaXMtcGFnYW0tbWFpcy1zZWxpYy9hbXAv?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.infomoney.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|InfoMoney|FIIs X Selic: 12 fundos imobiliários pagam dividendos acima da taxa básica de juros; confira a lista|2023-05-04T14:32:15Z|ptbr
./articles/CBMicWh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTA0L3Nob3BpZnktcmVwb3J0cy1maXJzdC1xdWFydGVyLXJldmVudWUtYWJvdmUtZXN0aW1hdGVz0gEA?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://money.usnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|U.S News & World Report Money|Shopify to Lay off 20% of Workforce, Revenue Tops Expectations|2023-05-04T11:07:00Z|eng
./articles/CBMidGh0dHBzOi8vYnIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL2x1Y3JvLWRhLW1vc2FpYy1jYWktNjMyLW5vLTFvLXRyaW1lc3RyZS1wYXJhLXVzLTQzNDgtbWlsaG9lcy0xMTA5ODE40gEA?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn3.gstatic.com/faviconV2?url=https://br.investing.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Investing.com Brasil|Lucro da Mosaic cai 63,2% no 1º trimestre, para US$ 434,8 milhões Por Estadão Conteúdo|2023-05-04T13:40:00Z|ptbr
./articles/CBMiZmh0dHBzOi8vdmFsb3IuZ2xvYm8uY29tL2VtcHJlc2FzL25vdGljaWEvMjAyMy8wNS8wMy9sdWNyby1kYS1kZXhjby1jYWktMzFwZXJjZW50LW5vLTFvLXRyaW1lc3RyZS5naHRtbNIBcWh0dHBzOi8vdmFsb3IuZ2xvYm8uY29tL2dvb2dsZS9hbXAvZW1wcmVzYXMvbm90aWNpYS8yMDIzLzA1LzAzL2x1Y3JvLWRhLWRleGNvLWNhaS0zMXBlcmNlbnQtbm8tMW8tdHJpbWVzdHJlLmdodG1s?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn2.gstatic.com/faviconV2?url=https://valor.globo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Valor Econômico|Lucro da Dexco cai 31% no 1º trimestre|2023-05-04T01:03:45Z|ptbr
./articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50LzFmMmVkZmViLWI4ZDktNDBhNC05NDk2LWQ1MWVkZjA3ZGQyN9IBAA?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.ft.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Financial Times|Veteran of 1980s banks crisis hits out at sale of First Republic to JPMorgan|2023-05-04T04:00:26Z|eng
./articles/CBMiUWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9mdXR1cmVzLXdhdmVyLXBhY3dlc3Qtc2xpZGUtb2Zmc2V0cy0xMDI1NDcwNTQuaHRtbNIBWWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2Z1dHVyZXMtd2F2ZXItcGFjd2VzdC1zbGlkZS1vZmZzZXRzLTEwMjU0NzA1NC5odG1s?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Yahoo Finance|Wall St set for lower open as PacWest woes offset Fed pause optimism|2023-05-04T10:25:47Z|eng
./articles/CBMiTGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vdmlkZW8vYW1kLXN0b2NrLWV4dGVuZHMtbG9zc2VzLWNoaXAtMTUyNDE1OTAyLmh0bWzSAVRodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvdmlkZW8vYW1kLXN0b2NrLWV4dGVuZHMtbG9zc2VzLWNoaXAtMTUyNDE1OTAyLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|Yahoo Finance|AMD stock extends losses as chip sales decline|2023-05-03T15:24:15Z|eng
./articles/CBMiY2h0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL2dlcmFsL2RpdmlkZW5kb3MtcGV0cm9icmFzLXBldHIzLXBldHI0LXBvZGUtcGFnYXItYXRlLXVzLTYtYmkvMTkyNjA2L9IBaWh0dHBzOi8vd3d3LnNwYWNlbW9uZXkuY29tLmJyL25vdGljaWEvYW1wLzE5MjYwNi9kaXZpZGVuZG9zLXBldHJvYnJhcy1wZXRyMy1wZXRyNC1wb2RlLXBhZ2FyLWF0ZS11cy02LWJpLw?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.spacemoney.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|spacemoney.com.br|Dividendos: Petrobras (PETR3)(PETR4) pode pagar até US$ 6 bi sobre o 1º tri, dizem analistas|2023-05-04T14:30:00Z|ptbr
./articles/CBMiV2h0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvcGV0cm9icmFzLXBldHI0LXByb2R1Y2FvLXByaW1laXJvLXRyaW1lc3RyZS0yMDIzL9IBW2h0dHBzOi8vd3d3LmluZm9tb25leS5jb20uYnIvbWVyY2Fkb3MvcGV0cm9icmFzLXBldHI0LXByb2R1Y2FvLXByaW1laXJvLXRyaW1lc3RyZS0yMDIzL2FtcC8?hl=pt-BR&gl=BR&ceid=BR%3Apt-419|https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.infomoney.com.br&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL|InfoMoney|Petrobras (PETR4) tem baixa de 4,3% na produção total no 1º trimestre|2023-05-03T22:21:55Z|ptbr
